literature_citations,article_description,tags
"BrÇbisson, [L.] A. de (1844). Description de deux nouveaux genres d'algues fluviatiles. Annales des Sciences Naturelles, Botanique, SÇr. 3 1: 25-31, 2 pls.","Authority of Coleochaete as an algal group, not very detailed","Associated Literature, Taxonomy"
"Pringsheim, N. (1859). BeitrÑge zur Morphologie und Systematik der Algen. III. Die Coleochaeteen. JahrbÅcher fÅr wissenschaftliche Botanik 2(1): 1-38, pls I-VIII.","Use this as primary source for Coleochaete, Authority of C. divergens","Associated Literature, Taxonomy"
"Klebahn, H. (1892). Chaetosphaeridium Pringsheimii, novum genus et nova species chlorophycearum aquae dulcis. JahrbÅcher fÅr wissenschaftliche Botanik 24: 268-282.",Authority on Chaetosphaeridium,"Associated Literature, Taxonomy"
"Jost, L. (1895). BeitrÑge zur Kenntniss der Coleochaeteen. Berichte der Deutschen Botanischen Gesellschaft 8: 433-452.","Authority on C. nitellarum, gives brief development of C. pulvinata and C. scutata","Associated Literature, Taxonomy"
"KÅtzing, F. T. (1849). Species algarum (pp. [i]?vi, [1]?922). Lipsiae [Leipzig]: F. A. Brockhaus.","Authority on C. soluta and C. pulvinata, disappointingly short","Associated Literature, Taxonomy"
"Szymanska, H . (1989). Three new Coleochaete species (chlorophyta) from Poland. Nova Hedwigia 49 Num 3-4: 435-446","Authority on C. circularis and related species, very detailed","Associated Literature, Taxonomy"
"DÅringer, I. (n.d.). öber die Verteilung epiphytischer Algen auf den BlÑttern wasserbewohnender Angiospermen sowie systematisch-entwicklungsgeschichtliche Bemerkungen Åber einige grÅne Algen.","About Chaetotheca, possibly related to c. irregularis?","Associated Literature, Taxonomy"
"Nandan Prasad, B., & Kumar Asthana, D. (1979). Awadhiella?A new genus of coleochaetaceae from India. Hydrobiologia, 62(2), 131?135. https://doi.org/10.1007/BF00037506","Awadhiella, unsure if real species of Coleochaete","Associated Literature, Taxonomy"
"Wesley, O. C. (1928). Asexual Reproduction in Coleochaete. Botanical Gazette, 86(1), 1?31. https://doi.org/10.1086/333869",Life cycle and development of Coleochaete as an overview,"Associated Literature, Cell Biology"
"Wesley, O. C. (1930). Spermatogenesis in Coleochaete scutata. Botanical Gazette, 89(2), 180?191. https://doi.org/10.1086/334041",Really nice description of anteridial development in C. scutata. Great drawings.,"Associated Literature, Cell Biology"
"Graham, L. E., & Repavich, W. M. (n.d.). Spermatogenesis in Coleochaete pulvinata (Charophyceae): Early Blepharoplast Development.",EM sections of C. pulvinata reproductive structures,"Associated Literature, Cell Biology"
"McBride, G. E. (1974). The seta-bearing cells of Coleochaete scutata (Chlorophyceae, Chaetophorales). Phycologia, 13(4), 271?285. https://doi.org/10.2216/i0031-8884-13-4-271.1","Ultrastructures of the hairs, shows Chloroplast partially occupy hairs","Associated Literature, Cell Biology"
"Marchant, H. J. (1977). ULTRASTRUCTURE, DEVELOPMENT AND CYTOPLASMIC ROTATION OF SETA?BEARING CELLS OF COLEOCHAETE SCUTATA (CHLOROPHYCEAE)1. Journal of Phycology, 13(1), 28?36. https://doi.org/10.1111/j.1529-8817.1977.tb02882.x","Ultrastructure of hairs, shows mitochondria in hairs","Associated Literature, Cell Biology"
"McBride, G., LaBounty, J., Adams, J., & Berns, M. (1974). The totipotency and relationship of seta-bearing cells to thallus development in the green alga Coleochaete scutata. A laser microbeam study. Developmental Biology, 37(1), 90?99. https://doi.org/10.1016/0012-1606(74)90171-7","Laser ablation of hairs, important to show that the thalli actively generate new hairs upon destruction","Associated Literature, Cell Biology"
"Rockwell, T. R. (2015). Seta Structure In Members Of The Coleochaetales (streptophyta) [MS, Illinois State University]. https://doi.org/10.30707/ETD2015.Rockwell.T","Not a paper, but a useful dissertation to reference, shows the ?plugs? in the hairs","Associated Literature, Cell Biology"
"Doty, K. F., Betzelberger, A. M., Kocot, K. M., & Cook, M. E. (2014). Immunofluorescence localization of the tubulin cytoskeleton during cell division and cell growth in members of the Coleochaetales ( S treptophyta). Journal of Phycology, 50(4), 624?639. https://doi.org/10.1111/jpy.12194",Proves Coleochaete have phragmoplastic cell division - very important,"Associated Literature, Cell Biology"
"Graham, L. E., & Wilcox, L. W. (n.d.). The Occurrence and Phylogenetic Significance of Putative Placental Transfer Cells in the Green Alga Coleochaete.","Cells that corticate the zygote form structures that appear to increase surface area of cells, most likely for transfer of key resources to zygote","Associated Literature, Cell Biology"
"Graham, L. E., Graham, J. M., RusSIN, W. A., & Chesnick, J. M. (1994). Occurrence and Phylogenetic Significance of Glucose Utilization by Charophycean Algae: Glucose Enhancement of Growth in Coleochaete orbicularis.",Axenic coleochaete grow better with glucose supplementation,"Associated Literature, Cell Biology"
"Graham, L. E., Arancibia?Avila, P., Taylor, W. A., Strother, P. K., & Cook, M. E. (2012). Aeroterrestrial Coleochaete (Streptophyta, Coleochaetales) models early plant adaptation to land. American Journal of Botany, 99(1), 130?144. https://doi.org/10.3732/ajb.1100245",Kind of interesting study showing a change in thallus morphology due to chronic exposure to air,"Associated Literature, Cell Biology"
"Graham, L. E. (n.d.). The Occurrence, Evolution, and Phylogenetic Significance of Parenchyma in Coleochaete BrÇb. (Chlorophyta).",Very important for showing Coleochaete have plasmodesmata like structures,"Associated Literature, Cell Biology"
"Cimino, M. T., & Delwiche, C. F. (2002). MOLECULAR AND MORPHOLOGICAL DATA IDENTIFY A CRYPTIC SPECIES COMPLEX IN ENDOPHYTIC MEMBERS OF THE GENUS COLEOCHAETE BRêB. (CHAROPHYTA: COLEOCHAETACEAE) 1. Journal of Phycology, 38(6), 1213?1221. https://doi.org/10.1046/j.1529-8817.2002.02067.x",Matt?s paper proving there are many species that inhabit Nitella,"Associated Literature, Evolution and Genomics"
"Bierenbroodspot, M. J., Darienko, T., De Vries, S., Delwiche, C. F., Lorenz, M., Ali, Z., Irisarri, I., Prîschold, T., & De Vries, J. (2025). Phylogenomics unveil a recent origin of morphological complexity in Coleochaetophyceae. Current Biology, 35(20), 5071-5080.e7. https://doi.org/10.1016/j.cub.2025.08.046","Coleochaete phylogenomics, missing circularis and soluta clades, uses transcriptomes","Associated Literature, Evolution and Genomics"
"Delwiche, C. F., Karol, K. G., Cimino, M. T., & Sytsma, K. J. (2002). PHYLOGENY OF THE GENUS COLEOCHAETE (COLEOCHAETALES, CHAROPHYTA) AND RELATED TAXA INFERRED BY ANALYSIS OF THE CHLOROPLAST GENE rbcL 1. Journal of Phycology, 38(2), 394?403. https://doi.org/10.1046/j.1529-8817.2002.01174.x","Early Coleochaete phylogenomics, uses atpB and Rbcl","Associated Literature, Evolution and Genomics"
